"","player_name","id","season","plays","exp_speed","avg_speed","avg_soe","forty","combine_season","twenty","ten","combine_weight","position","speed_score","speed_perc","speed_rank","adj_forty"
"52","Michael Ojemudia",50327,2020,17,3.39439404712004,3.71007210298752,0.315678055867481,4.45,2020,2.63671171171171,1.58306306306306,200,"CB",0.02225,62.7,52,4.41
"53","J.C. Jackson",42781,2019,4,3.04098939895629,3.35654234652556,0.315552947569267,4.46,2018,2.59,1.54,201,"CB",0.0221890547263682,62.6,53,4.41
"54","Bobby McCain",9578,2020,8,3.17431733012199,3.48660200346578,0.31228467334379,4.51,2015,2.63,1.59,195,"CB",0.0231282051282051,62.5,54,4.42
"55","Jimmie Ward",8665,2019,4,3.35174566507339,3.6533350611857,0.301589396112303,4.51,2014,2.62,1.62,193,"CB",0.0233678756476684,61.9,55,4.42
"56","Isaiah Johnson",10935,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.83,2016,2.82,1.72,212,"S",0.0227830188679245,61.5,56,4.42
"57","Isaiah Johnson",13669,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,57,4.42
"58","Isaiah Johnson",22098,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,58,4.42
"59","Isaiah Johnson",25401,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,59,4.42
"60","Isaiah Johnson",32829,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,60,4.42
"61","Isaiah Johnson",35627,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,61,4.42
"62","Isaiah Johnson",48233,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4,2019,2.63671171171171,1.58306306306306,208,"CB",0.0211538461538462,61.5,62,4.42
"63","Isaiah Johnson",63081,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,63,4.43
"64","Isaiah Johnson",63253,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,64,4.43
"65","Isaiah Johnson",71783,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,65,4.43
"66","Isaiah Johnson",82263,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,66,4.43
"67","Isaiah Johnson",106073,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,67,4.43
"68","Isaiah Johnson",121892,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,68,4.43
"69","Isaiah Johnson",124729,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,69,4.43
"70","Isaiah Johnson",138377,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,70,4.43
"71","Isaiah Johnson",146276,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,71,4.44
"72","Isaiah Johnson",151625,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,72,4.44
"73","Isaiah Johnson",154845,2018,5,2.00055913925171,2.29415391369013,0.293594774438419,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,61.5,73,4.44
"74","DeAndre Baker",33356,2019,13,3.39974828866812,3.69194626203444,0.292197973366318,4.52,2019,2.71,1.65,193,"CB",0.023419689119171,61.5,74,4.44
